timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,solar_zenith,solar_azimuth,poa_global,cell_temperature,dc_power_w,ac_power_w,PV_Power_kW
2020-05-30 02:00:00+00:00,0.0,0.0,0.0,28.57,53.97,5.38,93.4,98.04,71.34,64.66899741463374,77.85351215642413,0.0,28.57,0.0,0.0,0.0
2020-05-30 03:00:00+00:00,0.0,0.0,0.0,27.22,64.09,4.15,104.2,98.1,26.82,51.688983545295194,83.75186088613378,0.0,27.22,0.0,0.0,0.0
2020-05-30 04:00:00+00:00,0.0,0.0,0.0,26.72,66.64,4.32,113.8,98.13,1.55,38.55366684346863,90.2727651915564,0.0,26.72,0.0,0.0,0.0
2020-05-30 05:00:00+00:00,31.38,0.34,29.47,27.03,63.56,4.95,120.8,98.18,1.18,25.441654085169986,99.22765004845684,28.486456357569313,27.51398614219935,140.99999065738064,93.75137026216176,0.09375137026216175
2020-05-30 06:00:00+00:00,131.15,10.05,113.87,27.97,60.08,4.93,125.0,98.24,4.35,12.92515056797997,118.83281729540613,118.28229309854314,29.984303064285864,579.6203695738791,463.3034269446179,0.4633034269446179
2020-05-30 07:00:00+00:00,267.42,42.53,202.84,30.29,49.91,4.28,130.8,98.31,1.92,7.224598549469846,201.1951785896283,234.4760729443335,34.61013282206852,1127.3134406298261,923.2533785108168,0.9232533785108168
2020-05-30 08:00:00+00:00,443.12,152.43,257.09,32.83,36.99,4.08,140.4,98.35,5.98,17.438981769642083,251.23803882761297,383.8265507670083,40.084712983620534,1803.3344867587741,1488.6763158746608,1.4886763158746608
2020-05-30 09:00:00+00:00,638.33,242.47,362.03,33.97,33.82,3.96,137.2,98.35,7.27,30.322880833405037,264.6918400231518,540.2980369095242,44.3431115398554,2492.469280693504,2062.4562563457234,2.0624562563457234
2020-05-30 10:00:00+00:00,765.62,306.05,414.67,35.23,31.4,4.02,134.7,98.33,7.72,43.469221365482944,272.3675096845956,593.6348169753608,46.5380190978376,2712.459724373671,2245.06717716436,2.24506717716436
2020-05-30 11:00:00+00:00,916.45,519.54,332.76,36.31,29.39,4.08,136.1,98.27,2.1,56.5578716395761,278.5370116340746,549.2821503202554,46.69199243808509,2508.110266578835,2075.4484867927526,2.0754484867927525
